Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
42,2,2,1,1,4,1,2,2,1,6280,2181,0.795,14109,0.878,0.347
36,2,3,2,1,4,1,5,2,3,13080,0,0.685,1999,0.571,0
41,2,2,3,1,4,1,4,2,2,2243,1944,0.942,3216,0.674,0.867
38,2,1,2,2,2,1,2,2,1,2232,1163,0.557,4185,0.778,0.521
31,2,1,4,2,2,1,4,1,3,9096,0,0.768,2318,0.688,0
50,1,4,6,2,2,1,2,3,2,2521,1608,0.587,1328,0.571,0.638
46,2,5,1,2,3,1,6,3,3,32975,2517,0.658,597,0.7,0.076
41,1,4,2,1,2,1,5,2,2,9139,1620,0.773,4675,1.108,0.177
43,1,3,2,3,1,1,4,2,2,1662,613,0.868,2326,0.55,0.369
44,1,2,1,2,3,1,4,3,3,8128,2344,0.788,4251,1.051,0.288
48,2,3,1,1,2,1,5,1,1,2423,1779,0.503,4035,0.805,0.734
46,2,2,3,2,3,1,1,3,2,3841,1411,0.785,8444,0.688,0.367
33,1,2,3,1,2,1,4,2,2,1843,1293,0.349,2077,0.694,0.702
43,2,4,2,2,3,1,6,1,2,30503,2517,0.462,1860,0.306,0.083
39,1,1,3,1,2,1,3,1,1,1637,0,0.889,4800,0.795,0
59,1,0,3,1,1,1,4,1,2,1438.3,0,0.622,4155,0.632,0
51,2,3,1,1,3,1,1,3,1,11765,1429,0.817,8914,0.768,0.121
51,2,1,4,1,3,2,2,3,2,34516,0,0.678,7686,0.618,0
52,1,1,1,2,1,1,3,1,3,5927,2320,0.544,1558,0.643,0.391
36,1,2,1,1,1,1,3,3,2,1438.3,0,0.61,4957,0.872,0
49,2,3,4,1,3,1,5,1,2,2149,1796,0.628,5228,0.661,0.836
39,1,2,3,2,1,1,4,2,1,1781,935,0.868,5093,0.974,0.525
56,2,3,2,2,4,1,2,1,3,8512,0,1.038,811,1.25,0
39,1,2,4,2,1,2,1,2,3,12338,1277,0.828,15869,0.758,0.104
44,1,5,2,2,2,1,2,1,2,3891,1015,0.755,5131,0.72,0.261
44,2,2,2,2,2,1,5,1,1,2197,0,0.921,4548,0.641,0
50,2,2,2,2,4,1,6,2,4,5626,778,1.009,4957,1.049,0.138
45,1,3,4,2,1,1,6,3,4,9294,2000,0.637,4431,0.673,0.215
59,1,1,5,2,1,1,6,2,2,2759,2481,0.588,5037,0.68,0.899
50,1,2,5,1,2,1,3,2,3,5527,1120,0.442,2281,0.48,0.203
52,1,1,1,1,1,1,3,1,3,3773,1291,0.878,4697,0.667,0.342
37,2,3,3,1,3,1,6,2,2,2672,1259,1.375,2487,0.625,0.471
42,2,4,2,1,4,1,2,2,2,13426,0,0.717,4674,0.886,0
38,1,4,4,1,2,1,4,4,4,4913,2517,0.348,899,0.273,0.512
59,2,1,3,1,4,1,4,3,3,3742,1175,0.514,1505,0.824,0.314
54,2,5,2,1,3,1,2,1,3,7464,0,0.865,9071,1,0
55,2,1,1,1,2,1,2,1,2,3705,1355,0.742,16089,0.725,0.366
49,1,4,1,1,1,1,2,2,2,3002,1446,0.815,4851,0.947,0.482
49,2,2,2,2,4,1,4,1,4,5176,0,0.838,1902,0.931,0
35,2,1,4,2,4,1,3,2,3,23447,1515,0.622,2834,0.638,0.065
57,2,2,1,1,3,1,6,1,0,21875,2517,0.409,1327,0.409,0.115
47,1,3,3,1,2,1,5,1,4,1634,1463,0.873,4397,0.565,0.895
46,2,2,3,2,4,1,4,3,2,1438.3,681,0.731,2527,0.583,0.473
38,2,2,4,2,2,1,6,1,3,11068,1254,0.418,3812,0.641,0.113
53,2,2,1,1,4,1,6,3,2,7928,1228,0.632,1537,0.682,0.155
37,2,2,2,1,3,1,3,2,4,7304,0,1.144,2717,0.703,0
45,2,1,2,3,2,2,3,1,1,17437,2225,0.814,3381,0.594,0.128
47,1,4,5,3,2,1,2,2,3,2725,1851,0.687,4904,0.7,0.679
45,2,4,2,2,5,1,4,3,3,2701,1986,0.538,4767,0.854,0.735
39,1,2,2,2,2,1,2,2,2,11135,1563,0.746,8777,0.778,0.14
55,1,2,4,2,2,1,4,4,4,1438.3,696,0.888,4307,0.9,0.484
45,2,3,3,2,3,1,2,3,3,9303,1580,0.877,7825,0.45,0.17
65,1,0,1,2,1,1,5,3,3,1438.3,0,0.76,2249,0.564,0
59,1,0,2,1,1,1,6,2,4,2833,1609,0.78,1335,1.3,0.568
39,1,4,1,2,2,1,2,3,3,3394,2517,0.689,5421,0.829,0.742
54,2,4,1,2,3,1,3,4,3,8208,1256,0.814,4824,0.627,0.153
31,2,0,1,1,3,1,2,3,3,32791,1607,0.752,13177,0.738,0.049
37,1,2,6,2,2,1,4,1,3,1900,0,0.776,2880,0.353,0
36,2,3,2,1,3,1,3,1,2,7056,0,0.815,1739,0.842,0
52,1,2,2,1,1,1,4,2,2,5616,2410,0.962,3410,0.59,0.429
58,2,1,4,2,3,1,3,3,2,9890,0,0.653,3497,0.683,0
39,2,2,1,1,3,1,4,2,2,9959,1476,0.952,2760,1,0.148
64,1,0,3,1,1,1,4,3,4,3500,1904,1.182,2003,0.952,0.544
54,2,2,1,1,4,1,6,3,1,6224,1892,0.983,2187,0.657,0.304
36,1,2,1,1,1,1,1,3,2,5723,0,0.85,12403,0.69,0
65,1,0,3,2,1,1,6,3,3,2802,2403,0.636,3887,0.419,0.858
59,2,0,1,2,1,1,5,3,3,3604,1483,0.597,4576,0.706,0.411
51,1,2,2,2,2,1,4,1,2,5351,0,0.763,4596,0.5,0
54,1,0,4,1,2,1,6,2,3,2254,533,1.043,4913,0.909,0.236
45,2,2,1,2,3,1,6,3,3,1613,0,0.635,3549,0.444,0
46,1,4,4,1,2,1,2,2,2,1438.3,0,0.802,4659,1.114,0
35,2,3,1,2,3,1,4,1,2,23561,864,1.373,2447,1,0.037
41,1,4,3,1,2,1,4,3,2,2430,0,0.569,4334,0.578,0
53,1,2,4,1,1,1,2,3,2,2081,1342,1.06,4428,0.778,0.645
50,2,1,3,1,5,1,6,2,5,34516,2010,0.594,2776,0.735,0.058
48,1,3,1,1,1,1,3,2,2,1667,0,0.686,4385,0.951,0
42,1,2,3,1,2,1,4,2,0,22718,0,0.791,1191,1.176,0
49,2,3,2,1,4,1,3,2,2,9551,1833,1.675,3213,1.476,0.192
48,1,2,3,2,1,1,4,3,2,9505,2390,0.727,3616,0.619,0.251
57,2,2,3,1,3,1,6,2,4,10974,0,0.591,1327,1,0
62,2,1,1,1,3,1,3,1,2,2437,1400,0.779,1651,1,0.574
44,1,4,3,3,3,1,3,2,0,9908,2066,0.463,3749,0.667,0.209
45,2,0,3,2,3,1,1,4,3,20356,2031,0.752,15180,0.806,0.1
38,1,3,3,2,2,1,5,3,3,13220,848,0.825,3789,0.565,0.064
44,1,1,2,2,2,1,4,3,2,2021,1182,0.794,4209,0.833,0.585
50,2,1,6,1,3,1,5,3,3,18964,2207,0.625,3835,0.625,0.116
53,2,2,1,1,3,1,2,3,1,10301,2451,0.906,16359,0.657,0.238
48,1,3,4,3,1,1,4,3,3,2335,1845,0.537,1362,0.269,0.79
51,2,2,5,1,3,1,4,2,0,4830,1970,0.799,4850,0.633,0.408
50,2,1,2,1,1,1,2,1,3,3968,2264,1.098,12535,0.815,0.571
64,2,0,6,1,2,1,3,2,2,4234,1893,0.585,1439,0.355,0.447
60,2,1,3,1,2,1,6,1,5,3735,1175,1.036,8193,0.65,0.315
49,2,3,2,1,4,1,6,1,3,22651,1085,0.81,3915,0.674,0.048
50,1,2,1,1,1,1,2,1,2,1438.3,491,0.73,5102,0.694,0.341
49,1,4,2,2,2,1,6,2,3,7382,1326,0.806,4792,0.667,0.18
51,2,3,1,1,5,1,2,1,3,7932,2140,0.554,4024,0.614,0.27
57,1,1,2,2,1,1,4,4,3,2442,1699,0.639,4313,0.562,0.696
63,1,0,2,1,1,1,5,3,2,2271,1278,0.375,1550,0.65,0.563
63,2,1,1,2,1,1,4,2,2,7936,2081,0.941,4247,0.841,0.262
53,2,4,3,2,4,1,1,3,2,13720,0,0.671,1830,0.241,0
44,1,3,4,1,1,1,6,3,2,3083,1040,0.729,4311,0.56,0.337
45,2,4,1,1,3,1,5,3,4,12250,2165,0.641,1995,0.696,0.177
52,1,3,2,1,1,1,5,3,2,3302,2517,0.705,2682,0.516,0.762
53,1,1,3,3,2,2,5,1,1,15248,1242,0.725,4758,0.456,0.081
50,1,3,1,2,1,1,2,2,2,2382,1419,0.78,4563,0.712,0.596
50,1,3,1,2,1,1,6,5,2,7596,1156,0.611,4338,0.738,0.152
62,1,1,2,1,2,1,2,1,1,5249,0,0.758,1315,0.722,0
56,2,3,1,1,4,1,3,3,0,2783,1526,0.942,1909,0.688,0.548
38,2,2,2,1,3,1,5,3,3,2407,843,1.008,1470,0.4,0.35
31,2,1,1,1,2,1,6,2,5,2469,1695,0.842,1615,0.333,0.687
46,2,3,4,1,3,1,4,3,1,18927,887,1.065,3101,1,0.047
40,2,3,5,1,3,1,5,3,2,20371,1832,0.907,1665,0.8,0.09
59,1,1,2,1,1,1,1,4,3,5043,743,0.805,10170,0.784,0.147
50,2,3,1,1,5,1,5,2,4,34516,1662,0.504,3806,0.9,0.048
35,1,1,4,2,1,1,2,2,4,2231,1791,0.82,2576,0.75,0.803
43,1,1,1,2,3,1,6,3,3,9851,0,1.034,1212,0.6,0
42,2,2,4,2,4,1,5,3,2,8083,0,1.076,3942,0.75,0
65,2,1,4,2,1,1,5,2,2,5363,1309,0.574,3855,0.703,0.244
61,2,0,2,1,4,1,4,3,3,9172,1567,1.451,1836,0.75,0.171
45,2,3,3,1,3,1,6,3,1,12918,1345,1.061,1562,1.2,0.104
41,1,4,1,2,2,1,4,2,3,2375,1658,0.638,1071,1,0.698
48,2,2,1,1,2,1,5,2,4,2582,1399,0.559,2144,0.909,0.542
55,1,2,4,3,1,1,5,2,1,2239,1340,0.658,4540,0.587,0.598
40,1,3,3,3,1,1,6,1,0,2348,1061,1.062,1901,1.25,0.452
38,2,2,3,2,2,1,5,1,2,7756,1670,0.78,1858,0.545,0.215
61,2,1,1,2,3,1,5,3,2,4235,1675,1.079,3862,0.949,0.396
47,1,2,4,1,2,1,3,3,3,2373,1480,0.631,4228,0.658,0.624
63,1,2,1,1,2,1,4,2,4,3067,1874,0.791,1420,0.455,0.611
26,1,0,3,2,3,2,1,2,3,34516,2403,0.623,4174,0.735,0.07
51,2,0,1,1,3,1,4,3,2,7158,0,0.904,2113,0.875,0
67,2,0,1,1,2,1,4,2,1,5876,1297,1.012,2133,0.719,0.221
54,1,2,3,2,1,1,3,2,2,3554,0,0.929,4121,0.783,0
45,1,3,3,1,1,1,4,1,3,2922,1212,0.662,3895,0.591,0.415
34,1,2,1,2,3,2,2,2,1,32292,1731,0.751,7564,0.81,0.054
59,2,0,1,2,2,1,4,2,2,1638,0,0.533,1536,0.63,0
59,2,1,6,2,4,1,3,2,2,9055,1560,0.696,1755,0.8,0.172
36,1,2,3,2,1,1,6,2,3,2684,1474,1.042,2346,1.04,0.549
41,2,4,1,1,3,1,4,2,4,12270,0,0.543,4578,0.811,0
46,2,5,3,1,2,1,5,4,3,6185,1960,0.669,2225,0.875,0.317
44,1,3,2,1,2,1,4,6,4,26516,1434,0.472,3609,0.551,0.054
40,1,3,3,2,2,1,3,2,2,3698,478,0.611,2051,0.632,0.129
53,2,3,1,1,3,1,5,1,4,7290,2151,0.583,1312,0.526,0.295
53,1,0,1,2,1,1,5,2,1,1944,1140,0.582,4921,0.907,0.586
26,1,0,4,2,1,1,3,3,2,7595,1032,1.035,4080,0.8,0.136
45,2,3,1,2,3,1,1,3,3,8383,0,0.809,2600,0.517,0
62,1,1,3,2,1,1,3,3,3,1892,1604,0.476,1581,0.417,0.848
49,1,3,3,1,1,1,5,3,4,1438.3,0,0.929,4205,0.66,0
47,1,5,5,3,1,1,4,1,2,5016,2286,0.669,17038,0.649,0.456
48,2,2,3,1,3,1,5,2,3,12073,0,0.541,2400,0.793,0
41,1,4,3,2,1,3,3,3,3,15987,0,0.598,7832,0.78,0
47,1,4,3,2,2,1,1,1,0,1438.3,0,0.61,5216,0.66,0
49,1,2,2,1,1,1,5,3,1,2992,1845,0.707,4339,0.75,0.617
64,2,1,3,1,1,1,4,3,4,2720,1904,0.634,1613,0.344,0.7
41,1,4,1,3,2,1,3,3,2,1919,867,0.741,4996,0.704,0.452
67,1,0,3,1,2,1,4,3,3,10509,2388,0.777,1365,1.429,0.227
47,2,2,1,1,3,1,6,3,2,28904,1899,0.85,1334,0.4,0.066
49,1,4,3,2,1,1,1,3,2,3919,2278,0.672,7685,0.518,0.581
45,2,2,2,1,4,1,1,2,3,1870,0,0.761,4891,0.806,0
37,1,2,3,2,1,1,6,1,3,3061,2517,0.809,5032,0.618,0.822
43,2,1,1,3,4,1,4,3,3,1783,1014,0.956,3861,0.558,0.569
46,2,3,3,1,3,1,3,2,2,23512,1562,0.632,3764,0.538,0.066
43,2,3,4,1,4,1,4,3,4,9382,1455,0.482,3412,0.821,0.155
39,1,3,2,3,2,1,4,1,3,3400,2307,0.901,4742,0.698,0.679
49,2,3,2,1,3,1,5,2,3,8051,2138,0.716,4370,0.886,0.266
44,1,0,4,1,1,1,5,4,2,7499,1083,0.716,2478,0.667,0.144
54,1,2,1,1,1,1,1,2,3,3034,2033,0.642,4349,0.731,0.67
30,1,2,3,1,1,1,4,2,1,2063,0,0.553,1859,0.536,0
47,1,3,3,2,1,1,1,3,3,5398,0,0.621,1887,0.333,0
44,2,3,1,2,3,3,2,3,3,34516,2517,0.703,7640,0.582,0.073
60,1,0,3,2,1,1,3,2,3,3302,2517,0.785,4613,0.932,0.762
59,1,2,2,1,1,1,6,1,1,2338,1566,0.533,3964,0.5,0.67
49,1,2,4,1,1,1,3,1,3,2115,1598,0.934,4450,0.545,0.756
45,1,3,4,2,1,1,4,1,2,1877,0,0.752,4854,0.818,0
39,2,1,4,2,3,1,3,1,3,34516,1260,0.877,14576,0.759,0.037
43,1,4,5,3,1,1,4,3,3,3556,2517,0.651,2639,0.71,0.708
41,1,2,4,1,1,1,2,1,2,1654,1093,0.65,4596,0.822,0.661
39,1,3,6,2,2,1,5,3,0,7262,1466,0.512,1438,0.556,0.202
43,1,3,2,1,1,1,6,1,4,5544,1095,0.572,3829,0.964,0.198
39,1,2,3,2,1,1,2,1,2,4325,2418,0.796,4588,0.791,0.559
54,1,2,3,2,1,1,3,2,3,4170,641,0.815,3669,0.595,0.154
40,2,3,1,1,4,1,6,2,2,15008,0,0.784,3943,0.771,0
38,1,2,2,1,2,1,3,2,3,1776,1586,0.798,4350,0.868,0.893
58,1,1,3,2,1,1,4,3,1,3819,1882,0.809,4533,0.889,0.493
58,2,0,1,1,3,1,6,2,2,12555,1696,0.519,1291,0.714,0.135
45,1,2,1,1,2,1,6,1,2,14470,1157,0.966,1207,0.909,0.08
46,1,2,3,1,2,2,1,1,2,32587,992,1.139,15958,0.687,0.03
47,2,1,5,2,4,1,4,2,2,9090,1371,0.64,4422,0.585,0.151
43,1,3,5,2,2,1,3,3,4,5182,1607,0.874,5235,0.586,0.31
52,1,2,2,2,1,1,1,2,3,3029,2267,0.842,14934,0.823,0.748
45,1,0,6,1,2,2,1,1,3,19107,933,0.88,8987,0.561,0.049
47,2,5,4,2,3,1,1,1,3,3429,1779,0.938,14107,0.65,0.519
37,2,2,6,1,2,1,3,3,2,1808,1009,0.796,1744,0.944,0.558
41,1,3,2,1,3,1,5,1,2,5869,0,0.713,4191,0.857,0
30,1,1,2,2,1,1,3,2,2,3955,2352,0.779,16423,0.758,0.595
39,1,4,4,2,2,1,3,2,3,1776,0,0.518,2201,0.292,0
47,2,3,1,2,3,1,3,3,2,5116,1468,0.91,2361,0.633,0.287
47,1,2,2,1,2,1,2,1,3,4074,1868,0.688,15005,0.761,0.459
50,2,2,3,2,4,1,4,3,3,4388,642,0.815,3836,0.723,0.146
32,2,0,2,1,2,1,5,1,2,3172,2055,0.663,1939,0.636,0.648
47,2,4,2,1,4,1,4,5,2,10585,1749,0.655,18484,0.588,0.165
46,1,3,3,1,1,1,4,3,3,4317,2517,0.944,1619,1,0.583
45,1,3,2,1,1,1,6,1,3,2647,1288,0.765,4730,0.857,0.487
48,2,1,2,2,4,1,6,2,2,2319,1630,0.846,3739,0.659,0.703
41,2,2,4,1,3,1,2,3,3,14682,2517,1.041,8193,0.846,0.171
36,1,3,1,2,2,1,1,3,1,2013,0,0.602,2425,0.923,0
52,1,2,2,1,2,1,6,3,2,3456,2219,0.636,1332,0.5,0.642
57,2,4,3,2,3,1,5,3,4,7558,1364,0.719,3676,0.558,0.18
40,2,2,3,1,3,1,5,2,3,9109,1347,0.695,3991,0.867,0.148
46,2,1,2,2,4,1,5,2,4,23996,2517,0.488,1339,0.381,0.105
52,2,2,4,1,3,1,4,2,3,16207,922,0.635,3621,0.886,0.057
54,2,2,1,2,4,2,2,3,2,30540,0,0.602,1980,0.8,0
42,2,1,1,1,2,2,3,3,2,15315,1613,0.859,14728,0.754,0.105
32,2,0,1,3,2,1,2,1,1,7473,1253,0.98,13400,0.733,0.168
36,2,3,4,1,2,1,6,2,4,2220,1337,0.768,1685,0.375,0.602
53,1,2,3,2,1,1,3,3,4,2575,411,0.833,2423,0.593,0.16
55,2,1,2,2,5,1,4,1,2,19849,2205,0.796,3657,0.737,0.111
50,1,4,3,1,2,2,6,1,2,32156,1791,0.906,1559,1.167,0.056
31,1,0,3,1,1,1,5,3,2,2370,1699,0.889,2411,0.656,0.717
53,2,2,3,1,3,1,2,2,1,3212,0,0.713,757,0.25,0
53,2,2,4,3,3,1,2,1,2,15594,1590,0.679,13016,0.616,0.102
46,2,2,2,2,2,1,2,3,2,5972,0,0.606,14227,0.706,0
52,1,1,5,2,2,1,1,5,3,1766,0,0.769,4643,0.617,0
46,1,2,1,1,1,1,3,3,3,2267,1283,0.761,4249,0.8,0.566
45,1,3,2,1,2,1,1,2,2,1438.3,745,0.83,5020,0.766,0.518
41,1,3,3,2,2,1,6,3,3,2429,1966,1.046,4775,0.787,0.809
50,2,1,2,2,3,1,6,3,4,9959,952,0.825,10310,1.1,0.096
36,2,2,1,1,4,1,3,1,4,5550,1518,1.182,2540,0.771,0.274
51,1,2,3,2,1,1,3,1,3,3537,0,0.647,4101,0.702,0
59,2,1,4,2,2,1,4,2,2,5042,1002,1.108,2897,0.632,0.199
42,1,5,1,1,1,1,5,2,4,4228,1709,0.493,4389,0.58,0.404
43,1,4,1,1,1,1,5,3,2,2772,1782,0.718,4739,0.796,0.643
34,1,2,2,1,1,1,6,2,2,1798,833,0.882,4551,0.787,0.463
45,1,4,3,1,2,1,4,3,1,16317,0,0.742,2944,0.972,0
54,2,3,6,1,5,1,3,3,0,21592,1676,1.097,1873,0.529,0.078
57,1,1,2,1,1,1,6,2,2,3101,1257,0.416,1681,0.524,0.405
38,1,2,3,1,1,1,1,1,2,3629,1891,0.917,15982,0.687,0.521
59,1,1,1,1,1,1,2,3,3,2468,0,0.5,2017,0.762,0
41,1,3,2,1,1,1,3,2,2,7234,1420,0.539,4466,0.736,0.196
34,1,3,3,1,2,1,5,1,3,2799,1762,0.986,1817,0.56,0.63
45,1,5,1,1,1,1,4,1,2,2289,1037,0.504,4483,0.5,0.453
41,1,1,3,1,1,1,2,2,2,2909,1201,0.729,4230,0.659,0.413
41,1,3,2,1,2,1,4,1,2,9797,1434,0.644,1503,0.478,0.146
46,1,2,1,1,2,1,4,5,3,3131,0,0.811,4507,0.632,0
57,2,3,5,1,4,1,6,1,4,3478,2517,0.685,1409,0.75,0.724
38,1,4,6,1,1,1,4,2,4,4002,1402,0.579,2114,0.514,0.35
49,2,3,2,2,4,1,1,1,1,2122,1101,0.711,7404,0.515,0.519
61,1,1,1,1,1,1,3,2,2,3102,2091,0.704,1977,1,0.674
53,1,2,3,2,2,1,1,2,3,1699,0,0.602,2520,0.531,0
40,2,3,2,2,3,1,5,1,0,21617,0,1.047,1351,0.467,0
40,2,5,1,2,4,1,6,1,2,2742,1416,0.761,1539,1.111,0.516
57,1,3,2,1,1,1,6,2,3,3032,2215,0.408,1387,0.579,0.731
50,2,2,2,2,5,1,1,2,3,24670,1623,0.791,7772,0.652,0.066
36,1,3,3,1,2,1,6,6,1,2161,1404,0.68,4389,0.878,0.65
56,1,2,1,2,1,1,4,1,3,1438.3,0,0.622,4333,0.826,0
40,2,3,3,3,4,1,2,3,2,24499,2517,0.777,7667,0.527,0.103
52,2,4,2,1,3,1,6,1,0,5738,1112,1.519,1922,0.655,0.194
52,1,3,5,2,1,1,5,1,3,2555,1701,1.492,3127,1.25,0.666
40,2,4,2,1,2,1,3,1,1,1438.3,0,0.657,4215,0.927,0
47,1,3,3,1,2,1,4,3,6,5822,0,0.655,3240,0.652,0
40,1,3,2,1,1,1,5,1,3,2046,1694,0.853,3432,0.96,0.828
50,2,0,3,1,4,1,4,1,3,3640,659,0.938,3756,0.842,0.181
38,2,2,2,2,3,1,1,3,2,34516,0,0.768,14036,0.768,0
42,1,4,3,2,1,2,4,3,3,10091,0,1.121,3347,0.778,0
51,2,1,3,1,4,1,4,2,3,4988,0,0.619,3890,0.644,0
38,2,3,2,2,3,1,2,1,3,3413,1801,0.88,3831,0.667,0.528
26,2,1,4,3,2,1,3,3,2,1438.3,0,0.745,2660,0.712,0
52,1,3,3,2,1,1,3,3,3,2700,1623,0.848,4171,0.814,0.601
37,2,2,2,2,4,1,5,2,2,3433,964,0.526,4444,0.642,0.281
52,2,2,4,1,3,1,6,3,4,2803,778,0.55,3142,0.561,0.278
43,1,2,2,1,1,1,4,2,2,3125,2517,0.73,4422,0.732,0.805
41,2,3,1,3,4,1,5,2,2,5784,0,0.851,4173,0.86,0
47,2,3,3,3,4,2,4,2,5,29812,2031,0.767,2385,0.515,0.068
46,2,2,1,1,4,1,4,2,0,9451,1280,0.681,3179,0.975,0.135
36,1,3,2,1,1,1,6,1,2,3880,1542,1.015,1598,0.5,0.397
39,1,2,1,1,2,1,5,1,2,2575,1424,0.543,1487,0.737,0.553
47,2,4,2,2,2,1,3,3,3,5762,1890,0.938,3814,0.66,0.328
40,2,3,2,1,5,2,6,3,2,34516,964,0.521,2922,0.775,0.028
52,1,2,2,2,2,1,4,2,3,4259,0,0.59,4389,0.702,0
43,1,3,1,1,2,1,2,3,3,8314,1349,0.531,5028,0.702,0.162
37,1,1,1,2,2,1,3,3,1,2886,2198,0.828,4531,0.723,0.762
36,2,3,2,1,3,1,5,3,2,2607,1880,1.464,2045,0.95,0.721
26,1,1,3,2,2,1,6,2,3,12007,956,0.832,2678,0.471,0.08
33,1,2,6,2,1,1,2,3,2,1438.3,0,0.613,4196,0.891,0
44,1,4,1,2,1,1,4,3,3,2658,1884,0.627,4779,0.93,0.709
41,1,5,1,1,1,1,2,3,3,2178,1408,0.635,5089,0.455,0.646
50,1,2,2,2,1,1,4,2,1,2974,2090,0.975,4297,0.833,0.703
31,2,1,2,2,2,1,1,2,3,3232,1564,0.969,13142,0.75,0.484
45,1,3,2,2,1,1,6,2,3,2020,1103,0.942,4951,0.932,0.546
36,2,4,6,3,5,1,4,3,4,34516,1491,0.93,2243,0.935,0.043
39,1,5,1,2,1,1,5,2,2,1438.3,668,0.931,5205,0.773,0.464
45,1,3,2,3,1,1,3,3,2,9977,2088,0.65,3530,0.743,0.209
56,2,3,3,1,2,1,6,2,4,1813,1387,0.406,1468,0.231,0.765
38,2,1,1,1,4,1,6,3,3,7475,1473,0.775,1592,0.429,0.197
43,2,2,5,1,5,1,3,3,2,10700,1346,0.639,4054,0.7,0.126
33,1,1,1,1,1,1,3,2,4,3792,1625,0.618,1888,0.625,0.429
43,2,3,1,2,3,1,3,3,2,16351,1541,0.763,3475,0.673,0.094
49,2,4,1,2,3,1,5,5,3,16435,0,0.676,1721,0.514,0
47,1,4,2,1,1,1,5,3,4,7711,988,0.884,2078,0.68,0.128
34,2,1,3,2,3,1,1,2,2,3711,1413,0.175,3922,0.645,0.381
52,2,3,1,1,3,1,6,3,3,30820,1724,0.948,3402,0.923,0.056
49,1,4,3,1,1,1,6,3,3,1438.3,0,0.782,2170,0.464,0
54,2,4,2,2,3,2,1,3,4,34516,214,0,1201,0,0.006
53,2,1,1,3,3,1,5,4,2,34516,1219,1.129,1590,2,0.035
35,1,3,2,1,1,1,3,3,4,3073,526,0.702,1944,0.618,0.171
40,2,3,1,3,3,1,4,2,3,27374,1509,0.803,4231,0.714,0.055
36,1,2,6,2,2,1,5,2,3,6966,905,0.755,4855,0.5,0.13
35,1,0,3,1,1,1,2,2,3,3009,2517,0.735,5329,0.745,0.836
58,1,1,1,1,2,1,2,3,1,9926,2216,0.524,4937,0.553,0.223
47,1,4,3,1,2,1,3,3,3,2680,1652,1.132,3382,0.758,0.616
43,2,0,2,1,3,1,5,3,3,7866,0,0.747,2843,0.828,0
41,2,5,3,1,3,1,3,3,1,12114,1379,0.676,3964,0.837,0.114
54,1,3,6,2,1,1,4,3,3,1764,0,0.651,4857,0.804,0
51,1,0,1,1,1,1,4,2,3,1757,331,0.879,2377,0.516,0.188
56,1,4,5,1,1,1,5,3,3,4604,621,0.814,4586,0.646,0.135
54,1,3,1,2,1,2,1,5,2,13432,0,0.918,4909,0.316,0
39,2,2,3,2,2,1,4,1,3,9121,1426,0.666,4112,0.481,0.156
50,2,1,1,1,3,2,2,1,3,34516,925,0.771,7755,0.68,0.027
43,2,4,2,1,5,1,3,1,3,20695,1250,0.605,3924,0.783,0.06
49,1,3,3,3,1,1,3,3,4,1652,812,0.548,1771,0.516,0.492
52,2,0,1,2,3,1,4,3,3,8133,1942,0.572,3310,0.583,0.239
45,1,5,4,2,2,2,3,2,2,15677,1227,0.76,3818,0.588,0.078
51,2,2,1,1,2,1,5,1,2,12240,1566,0.539,1422,0.529,0.128
45,2,4,4,3,3,1,6,5,1,1535,0,0.77,5168,0.81,0
58,2,3,1,1,5,1,5,2,5,17934,1578,0.593,2005,0.778,0.088
50,2,1,6,2,3,1,5,4,2,5068,991,0.736,5173,0.6,0.196
44,2,3,2,2,5,1,3,1,5,3650,2512,0.739,4599,0.471,0.688
44,1,4,1,3,1,1,4,3,2,1791,1314,0.725,5109,0.756,0.734
42,1,3,3,1,2,1,5,1,3,4568,2025,0.849,4869,0.848,0.443
42,1,3,1,2,2,1,6,2,3,3376,1661,0.618,4629,0.923,0.492
33,1,2,3,1,1,1,4,2,4,1544,0,0.677,1731,0.739,0
34,1,3,3,2,2,1,1,2,3,8698,874,0.708,15683,0.709,0.1
29,2,1,4,2,3,1,5,3,3,7010,2103,1.007,2413,1.087,0.3
45,1,3,2,3,2,1,1,1,2,2032,1195,0.642,4479,0.667,0.588
44,2,2,1,2,3,1,6,3,1,28292,0,0.542,3948,0.538,0
54,2,3,5,2,2,1,2,5,3,4216,1290,0.86,13787,0.571,0.306
34,1,4,2,1,2,1,6,1,0,2432,851,0.873,4760,0.917,0.35
56,1,4,3,1,1,1,4,1,5,3652,1351,0.836,1561,0.625,0.37
49,2,3,4,2,5,1,5,2,4,34516,0,0.646,1793,0.833,0
50,1,3,1,3,1,1,5,4,4,4248,316,0.661,2271,0.333,0.074
45,2,4,4,1,4,1,6,2,2,3035,1498,0.903,4275,0.675,0.494
47,2,4,2,1,3,1,3,3,4,8217,0,0.678,1848,0.514,0
57,1,2,2,1,1,1,4,2,2,1438.3,904,0.761,3887,0.837,0.629
46,2,3,3,1,4,3,3,1,3,34516,713,0.772,7750,0.608,0.021
